0	0.27	0.19	0.18	0.24	0.16	0.16	0.3	0.17	0.24	1.51	1.12	1.08	0.6	0.59	0.76	0.71	1	0.77	3.23	3.22	1.75	1.88	1.86	2.1	3.12	3.12	2.1	2.47	3.1	2.8	1.47	2.46	3.21	2.15	3.15	2.66	5.21	4.645	4.08	3.97	4.11	4.51	2.74	4.16	3.56	3.37	5.36	3.44	3.32	3.32	4.99	3.75	5.34	3.64	4.75	3.61	3.47	4.73	3.88	3.66	0	0	0	0	0	0	0	0	0
490	0.036	0.037	0.044	0.048	0.047	0.033	0.042	0.032	0.034	0	0.003	0.012	0.015	0.006	0.008	0.014	0.008	0.007	0.01	0.01	0.012	0.012	0.013	0.011	0.015	0.011	0.012	0.021	0.02	0.021	0.025	0.021	0.017	0.021	0.021	0.019	0.001	0	0	0.011	0	0	0	0	0	0.017	0.018	0.015	0.029	0.02	0.017	0.021	0.016	0.018	0.043	0.035	0.033	0.036	0.036	0.035	0.0811	0.0807	0.0794	0.0797	0.0759	0.0763	0.0803	0.081	0.0823
560	0.059	0.058	0.077	0.075	0.076	0.06	0.069	0.056	0.06	0.034	0.041	0.053	0.054	0.042	0.042	0.056	0.046	0.048	0.039	0.035	0.036	0.044	0.036	0.035	0.042	0.035	0.037	0.042	0.041	0.04	0.047	0.038	0.037	0.038	0.04	0.041	0.026	0.025	0.02	0.042	0.023	0.021	0.019	0.019	0.022	0.039	0.039	0.037	0.059	0.04	0.037	0.038	0.036	0.035	0.084	0.072	0.068	0.071	0.069	0.063	0.1194	0.1158	0.1114	0.1146	0.1054	0.1096	0.1094	0.115	0.115
665	0.06	0.06	0.083	0.084	0.081	0.06	0.076	0.056	0.063	0.006	0.011	0.024	0.03	0.018	0.015	0.03	0.015	0.021	0.013	0.012	0.019	0.02	0.017	0.014	0.023	0.013	0.016	0.015	0.015	0.016	0.028	0.018	0.015	0.019	0.016	0.017	0.001	0	0	0.027	0.005	0.001	0.004	0.002	0.001	0.019	0.02	0.02	0.049	0.024	0.02	0.023	0.02	0.021	0.056	0.051	0.05	0.054	0.049	0.05	0.1628	0.1556	0.1568	0.148	0.146	0.1514	0.1528	0.1582	0.1556
705	0.097	0.098	0.126	0.122	0.126	0.103	0.107	0.094	0.096	0.068	0.078	0.092	0.095	0.08	0.077	0.095	0.084	0.088	0.068	0.061	0.07	0.075	0.064	0.061	0.071	0.06	0.065	0.066	0.062	0.061	0.065	0.06	0.061	0.057	0.062	0.062	0.055	0.052	0.047	0.067	0.056	0.052	0.044	0.045	0.049	0.063	0.062	0.059	0.089	0.068	0.06	0.063	0.06	0.06	0.127	0.117	0.105	0.124	0.116	0.105	0.1952	0.1876	0.1811	0.1717	0.1731	0.1787	0.1741	0.1877	0.1839
740	0.18	0.182	0.198	0.191	0.197	0.174	0.175	0.171	0.173	0.364	0.372	0.339	0.322	0.3	0.325	0.343	0.362	0.352	0.37	0.342	0.319	0.3	0.298	0.333	0.315	0.324	0.332	0.37	0.351	0.313	0.274	0.285	0.326	0.297	0.335	0.323	0.377	0.369	0.336	0.3	0.318	0.348	0.318	0.346	0.341	0.319	0.313	0.285	0.265	0.284	0.296	0.276	0.29	0.285	0.362	0.33	0.295	0.293	0.314	0.28	0.2331	0.218	0.2002	0.1971	0.1881	0.1992	0.1904	0.2075	0.2077
783	0.199	0.199	0.212	0.203	0.209	0.193	0.19	0.182	0.188	0.471	0.464	0.407	0.388	0.362	0.407	0.415	0.445	0.436	0.516	0.468	0.418	0.374	0.389	0.443	0.412	0.449	0.436	0.571	0.53	0.461	0.372	0.405	0.475	0.421	0.5	0.474	0.615	0.601	0.55	0.443	0.492	0.55	0.513	0.569	0.556	0.484	0.478	0.428	0.344	0.4	0.444	0.401	0.439	0.43	0.473	0.43	0.389	0.366	0.409	0.361	0.2579	0.2424	0.2209	0.2154	0.2056	0.218	0.2072	0.2273	0.2245
842	0.209	0.202	0.212	0.208	0.209	0.193	0.196	0.191	0.194	0.467	0.463	0.414	0.389	0.376	0.411	0.405	0.456	0.428	0.519	0.47	0.408	0.378	0.399	0.434	0.394	0.45	0.424	0.586	0.558	0.483	0.361	0.42	0.494	0.418	0.512	0.494	0.65	0.64	0.575	0.424	0.512	0.582	0.508	0.599	0.585	0.51	0.498	0.453	0.339	0.417	0.468	0.402	0.471	0.46	0.493	0.454	0.408	0.384	0.434	0.367	0.2814	0.2598	0.237	0.2336	0.2212	0.2302	0.2178	0.248	0.2388
865	0.21	0.206	0.22	0.216	0.221	0.2	0.202	0.197	0.198	0.475	0.477	0.416	0.397	0.376	0.415	0.426	0.462	0.453	0.527	0.482	0.426	0.388	0.403	0.453	0.429	0.464	0.451	0.577	0.543	0.471	0.378	0.42	0.479	0.44	0.51	0.486	0.635	0.618	0.566	0.448	0.502	0.57	0.523	0.592	0.574	0.517	0.506	0.454	0.372	0.421	0.473	0.424	0.468	0.456	0.504	0.465	0.421	0.395	0.442	0.391	0.2933	0.2709	0.2442	0.2333	0.2286	0.249	0.2319	0.2599	0.2529
1610	0.163	0.167	0.195	0.185	0.19	0.168	0.171	0.156	0.166	0.164	0.175	0.181	0.183	0.157	0.158	0.188	0.184	0.187	0.158	0.148	0.156	0.153	0.146	0.15	0.153	0.145	0.154	0.174	0.16	0.153	0.145	0.143	0.153	0.151	0.162	0.16	0.149	0.144	0.138	0.144	0.136	0.135	0.135	0.14	0.14	0.126	0.121	0.118	0.136	0.124	0.119	0.119	0.12	0.119	0.155	0.138	0.13	0.136	0.134	0.13	0.366	0.3559	0.3536	0.3284	0.3376	0.3511	0.352	0.3633	0.3601
